rho	Te		Ti		ne
0.000	2.185E+04	1.956E+04	4.000E+20
0.083	2.185E+04	1.956E+04	4.000E+20
0.117	2.161E+04	1.936E+04	4.000E+20
0.144	2.137E+04	1.916E+04	4.000E+20
0.166	2.113E+04	1.896E+04	4.000E+20
0.186	2.089E+04	1.876E+04	4.000E+20
0.203	2.066E+04	1.856E+04	3.999E+20
0.22	2.042E+04	1.837E+04	3.999E+20
0.235	2.020E+04	1.818E+04	3.998E+20
0.249	1.997E+04	1.799E+04	3.998E+20
0.263	1.974E+04	1.780E+04	3.997E+20
0.275	1.952E+04	1.761E+04	3.996E+20
0.288	1.931E+04	1.743E+04	3.994E+20
0.299	1.909E+04	1.725E+04	3.993E+20
0.311	1.888E+04	1.707E+04	3.991E+20
0.322	1.867E+04	1.690E+04	3.989E+20
0.332	1.846E+04	1.672E+04	3.987E+20
0.342	1.826E+04	1.655E+04	3.984E+20
0.352	1.805E+04	1.638E+04	3.982E+20
0.362	1.786E+04	1.622E+04	3.978E+20
0.371	1.766E+04	1.605E+04	3.975E+20
0.381	1.747E+04	1.589E+04	3.971E+20
0.39	1.728E+04	1.573E+04	3.967E+20
0.398	1.709E+04	1.557E+04	3.963E+20
0.407	1.690E+04	1.542E+04	3.958E+20
0.415	1.672E+04	1.526E+04	3.953E+20
0.423	1.654E+04	1.511E+04	3.947E+20
0.432	1.636E+04	1.496E+04	3.941E+20
0.439	1.618E+04	1.481E+04	3.935E+20
0.447	1.601E+04	1.466E+04	3.928E+20
0.455	1.584E+04	1.452E+04	3.921E+20
0.462	1.567E+04	1.438E+04	3.913E+20
0.47	1.550E+04	1.423E+04	3.906E+20
0.477	1.534E+04	1.410E+04	3.897E+20
0.484	1.518E+04	1.396E+04	3.889E+20
0.491	1.502E+04	1.382E+04	3.880E+20
0.498	1.486E+04	1.369E+04	3.870E+20
0.505	1.470E+04	1.356E+04	3.860E+20
0.512	1.455E+04	1.343E+04	3.850E+20
